state_district,round,nonagri_share,total_emp_wtd,share_high,share_low,share_middle,year
09_68,2017-18,0.3936258053781703,226320388,0.05431040971880978,0.6063741946218296,0.3393153956593606,2017
09_68,2018-19,0.4083948061845776,209267583,0.07724204469834203,0.5916051938154224,0.33115276148623557,2018
09_68,2019-20,0.1998188566372726,246802308,NA,0.8001811433627274,0.1998188566372726,2019
09_68,2020-21,0.5697151007431478,431875328,0.18438248456739811,0.4302848992568522,0.3853326161757497,2020
09_68,2021-22,0.5637834714719436,467799938,0.15037438076787432,0.43621652852805637,0.41340909070406934,2021
09_68,2022-23,0.37450137401977635,243616217,0.06451200249940668,0.6254986259802237,0.3099893715203697,2022
09_69,2017-18,0.24547910646002818,91335097,0.04098087288394734,0.8056152546905673,0.20449823357608082,2017
09_69,2018-19,0.5345372603334109,157750816,0.05418364999138895,0.4896798680801636,0.48035361034202195,2018
09_69,2019-20,0.1765751163708755,500602060,0.022765617464698407,0.8234248836291245,0.1538094989061771,2019
09_69,2020-21,0.3880959627687938,269191816,0.07885064752488612,0.6119040372312061,0.3092453152439077,2020
09_69,2021-22,0.4654652742386162,128002305,0.19859105662198817,0.5345347257613837,0.26687421761662805,2021
09_69,2022-23,0.5534371580514653,370766686,0.053153947601430405,0.44656284194853474,0.5002832104500349,2022
09_70,2017-18,0.2111528090533792,360057469,0.09090952366828974,0.7888471909466208,0.12024328538508945,2017
09_70,2018-19,0.34725220903157306,353827333,0.10406447881741233,0.6527477909684269,0.2431877302141607,2018
09_70,2019-20,0.1564310005089189,308929380,0.06197496981348941,0.8435689994910811,0.09445603069542949,2019
09_70,2020-21,0.3355187029242854,251708606,0.23420188898904792,0.6644812970757146,0.10131681393523748,2020
09_70,2021-22,0.3237652604920489,499007419,0.17480637296897583,0.6762347395079511,0.14895888752307307,2021
09_70,2022-23,0.27248771550828715,452205116,0.007553696053275081,0.7275122844917128,0.2649340194550121,2022
09_71,2017-18,0.13070107026584543,247653236,0.11705316461118238,0.8692989297341546,0.01364790565466304,2017
09_71,2018-19,0.18580409847080345,126930903,0.11170386143081326,0.8141959015291965,0.07410023703999018,2018
09_71,2019-20,0.2286678135998132,311897284,0.07579795404694835,0.7713321864001867,0.15286985955286483,2019
09_71,2020-21,0.1959448214821165,349481877,0.09311103705672269,0.8040551785178834,0.10283378442539383,2020
09_71,2021-22,0.4095242162789122,223932567,0.13032368355782747,0.5904757837210878,0.27920053272108475,2021
09_71,2022-23,0.38354603566959955,291708910,0.044595939836050945,0.6164539643304005,0.33895009583354857,2022
10_01,2017-18,0.521786622652509,553927825,0.06276627103901126,0.4782133773474911,0.45902035161349763,2017
10_01,2018-19,0.33945728215514914,568489728,0.04200451094166472,0.6605427178448509,0.29745277121348446,2018
10_01,2019-20,0.3661726106407274,529654033,0.07332262492184215,0.6338273893592725,0.2928499857188853,2019
10_01,2020-21,0.37080233891381786,527588657,0.06812817054177114,0.6291976610861821,0.3026741683720467,2020
10_01,2021-22,0.5097915935740498,533144933,0.13782972030984303,0.4902084064259502,0.37196187326420677,2021
10_01,2022-23,0.5384155872077158,607421276,0.01819058935959958,0.46158441279228424,0.5202249978481162,2022
10_02,2017-18,0.2915078365602731,591843084,0.036671020726162615,0.7084921634397269,0.25709049917919125,2017
10_02,2018-19,0.22235421223438048,896913825,0.053879662296430764,0.7776457877656195,0.16847454993794972,2018
10_02,2019-20,0.35764484678603276,429837411,0.07788436777086395,0.6423551532139672,0.2797604790151688,2019
10_02,2020-21,0.3331542197120322,709062023,0.03473695981599624,0.6668457802879678,0.2984172598960359,2020
10_02,2021-22,0.512767033098003,720926971,0.054366219570941815,0.48723296690199713,0.45840081352706114,2021
10_02,2022-23,0.6363324992121356,594344085,0.06733554015263735,0.3636675007878643,0.5689969590594983,2022
10_03,2017-18,0.002544201539356015,36026234,NA,0.997455798460644,0.002544201539356015,2017
10_03,2018-19,0.17434796695005977,28933426,0.17434796695005977,0.8256520330499403,NA,2018
10_03,2019-20,0.6973684035901935,2260491,0.3026315964098065,0.3026315964098065,0.3947368071803869,2019
10_03,2020-21,0.24464484828187433,17676530,NA,0.7553551517181257,0.24464484828187433,2020
10_03,2021-22,0.25626045262896363,37214322,0.1636809613245137,0.7437395473710363,0.09257949130444994,2021
10_03,2022-23,0.12065191296958083,112393162,0.015610380282743535,0.8793480870304191,0.1050415326868373,2022
10_04,2017-18,0.3394802968489976,350221698,0.2073873132783452,0.6605197031510025,0.13209298357065244,2017
10_04,2018-19,0.37282422451792097,291037899,0.07988449641742362,0.627175775482079,0.29293972810049734,2018
10_04,2019-20,0.442526649905241,579965383,0.21563973413909776,0.5574733500947591,0.22688691576614323,2019
10_04,2020-21,0.46771295879451563,366116871,0.21225108744032722,0.5322870412054844,0.2554618713541884,2020
10_04,2021-22,0.4924760517543573,580293864,0.04713763783654276,0.5075239482456426,0.4453384139178146,2021
10_04,2022-23,0.6973761893036884,189899142,0.037783340800981606,0.3026238106963116,0.6595928485027067,2022
10_05,2017-18,0.3493140413527621,340011677,0.011842069575348847,0.6506859586472379,0.33835677943496045,2017
10_05,2018-19,0.5172184344514866,729456475,0.03131682805338043,0.48278156554851337,0.4859016063981062,2018
10_05,2019-20,0.5392084662248218,337934234,0.009685624215272609,0.5068124705122385,0.5295228420095491,2019
10_05,2020-21,0.77984831801796,535590707,0.03567932518291435,0.22015168198204008,0.7441689928350456,2020
10_05,2021-22,0.6494611999840441,725119225,0.03507412039723536,0.3643325171128153,0.6143870795868086,2021
10_05,2022-23,0.7549237248668378,668770055,0.0550095936936052,0.2843636289076132,0.6999141311732326,2022
10_06,2017-18,0.19684946574240345,211801855,0.02290006855700107,0.8031505342575965,0.17394939718540237,2017
10_06,2018-19,0.18899977679195515,368001969,0.004179091774282155,0.8552774904879114,0.18503703440782404,2018
10_06,2019-20,0.2185899315057883,304691440,0.08717178754458932,0.7814100684942117,0.13465569954968212,2019
10_06,2020-21,0.37511346470338797,370546952,0.031264189160028495,0.624886535296612,0.3438492755433595,2020
10_06,2021-22,0.2357878970489644,388560987,0.014452536893519883,0.8212697590726661,0.22133536015544453,2021
10_06,2022-23,0.11969390281643828,352692301,0.3271317712019849,0.9465625818861576,0.09679567969928553,2022
10_07,2017-18,0.18238074542266178,236861621,0.019462950479427817,0.8176192545773382,0.16291779494323397,2017
10_07,2018-19,0.35385498300711343,285832544,0.03800008861132342,0.6461450169928866,0.31585489439579,2018
10_07,2019-20,0.20942763388438276,550603838,0.060405316317464534,0.7905723661156172,0.14902231756691822,2019
10_07,2020-21,0.21807180035540355,848683125,0.07000216011129007,0.7819281996445965,0.14806964024411348,2020
10_07,2021-22,0.3563730671277715,429941831,0.005613928073804771,0.6436269328722285,0.3520620909296914,2021
10_07,2022-23,0.396114631739709,742978273,0.05067778137790279,0.6038853682602909,0.34943900304336356,2022
10_08,2017-18,0.26359173086965343,200854882,0.00535349216721023,0.7364082691303465,0.25884110200517807,2017
10_08,2018-19,0.29698419055034625,150321931,0.04266902345739558,0.7030158094496538,0.25431516709295066,2018
10_08,2019-20,0.32478733003020366,200521141,0.0360997746367302,0.6752126699697963,0.28868755539347346,2019
10_08,2020-21,0.3794637680305117,331145344,0.030278885636392944,0.6205362319694883,0.34918488239411877,2020
10_08,2021-22,0.23009152841142178,255924468,0.023555735202309767,0.7699084715885782,0.206535793209112,2021
10_08,2022-23,0.42891796001113447,194463081,0.02480758802746728,0.5710820399888656,0.40411037198366717,2022
10_09,2017-18,0.4132858542045738,270164744,0.24195291914825967,0.5867141457954262,0.21760402238124749,2017
10_09,2018-19,0.2656793678700883,617283240,0.09689377602411496,0.7343206321299117,0.16878559184597333,2018
10_09,2019-20,0.4135594696110705,408680174,0.08069160457977098,0.5864405303889295,0.3328678650312995,2019
10_09,2020-21,0.5146958855220684,639974875,0.051007146178980854,0.48530411447793165,0.4636887393430875,2020
10_09,2021-22,0.46120762659690634,583732175,0.035191537968589794,0.5387923734030936,0.4260160886283166,2021
10_09,2022-23,0.6089011629781365,460460505,0.06539626889389787,0.3910988370218636,0.5435048940842385,2022
10_10,2017-18,0.17346227206985684,313047998,0.02563692165825638,0.8290926736771276,0.14782535041160047,2017
10_10,2018-19,0.31245722041864044,312381797,0.03713396910896188,0.6875427795813596,0.2753232513096786,2018
10_10,2019-20,0.37481239280738404,638526958,0.005703970606672491,0.625187607192616,0.36910842220071155,2019
10_10,2020-21,0.3029484648256636,776785458,0.016191759089290263,0.6970515351743364,0.28675670573637335,2020
10_10,2021-22,0.3206907281848584,470043075,0.05984535353488614,0.6793092718151417,0.26084537464997226,2021
10_10,2022-23,0.5273604331845654,643014600,0.039721928553410765,0.4726395668154347,0.48763850463115455,2022
10_11,2017-18,0.252560573554497,151654011,0.08145132833696447,0.747439426445503,0.17761458350086104,2017
10_11,2018-19,0.30397287219129654,205441142,NA,0.6960271278087035,0.30397287219129654,2018
10_11,2019-20,0.3528825992226657,489494408,0.03462238122238161,0.6471174007773343,0.3182602180002841,2019
10_11,2020-21,0.43677645780234203,335726618,0.08010851257555038,0.563223542197658,0.3566679452267916,2020
10_11,2021-22,0.2687843333222626,384497090,0.08464052094646542,0.7312156666777374,0.18414381237579716,2021
10_11,2022-23,0.2759985916268057,500018037,0.014307883857397728,0.7240014083731944,0.26169070776940795,2022
10_12,2017-18,0.31943614948265836,147554427,0.033186479725206754,0.6805638505173417,0.2862496697574516,2017
10_12,2018-19,0.44348712031071896,203285960,0.03218359005216101,0.556512879689281,0.4113035302585579,2018
10_12,2019-20,0.16931015592167042,364425162,0.028598340287845306,0.8306898440783296,0.1437963633257574,2019
10_12,2020-21,0.17358529332315123,404037218,0.024909319121190463,0.8264147066768488,0.14867597420196077,2020
10_12,2021-22,0.2825512638918964,388768376,0.04582483581432045,0.7620789322982722,0.23672642807757593,2021
10_12,2022-23,0.26156960058040074,695825469,0.042623372269806926,0.7384303994195992,0.2189462283105938,2022
10_13,2017-18,0.5629454323533857,484997185,0.029780409962585658,0.43705456764661427,0.5331650223908001,2017
10_13,2018-19,0.45169928881231813,475629301,0.007450543333656554,0.5483007111876819,0.4495376284649881,2018
10_13,2019-20,0.583800425007958,451528957,0.024383973229871944,0.41619957499204197,0.5594164517780861,2019
10_13,2020-21,0.7149772320260444,654783119,0.12370971341428244,0.28502276797395565,0.5912675186117619,2020
10_13,2021-22,0.606159001269761,770084303,0.05577934757618349,0.39384099873023903,0.5503796536935776,2021
10_13,2022-23,0.6102257920575029,833360580,0.042729510915911095,0.3897742079424971,0.5674962811415918,2022
10_14,2017-18,0.42580253743376006,625790996,0.07796233137237404,0.5741974625662399,0.34784020606138605,2017
10_14,2018-19,0.587418806143914,442030213,0.3014763110774059,0.41258119385608605,0.28594249506650804,2018
10_14,2019-20,0.4489966329774937,740274529,0.1955835157473046,0.5510033670225063,0.25341311723018906,2019
10_14,2020-21,0.6297232299228173,668812799,0.35054323175415186,0.3702767700771827,0.27917999816866546,2020
10_14,2021-22,0.5415826022794042,791073194,0.19224839515924744,0.4584173977205958,0.34933420712015684,2021
10_14,2022-23,0.5536595419717774,634118523,0.040192672308990415,0.4463404580282226,0.513466869662787,2022
10_15,2017-18,0.19345146387580883,271660989,0.09660787548704683,0.8065485361241912,0.09684358838876199,2017
10_15,2018-19,0.05683028429628691,224587738,0.006792035992632866,0.9431697157037131,0.05003824830365405,2018
10_15,2019-20,0.18092034885859176,326636989,0.03420176947565482,0.8190796511414082,0.14671857938293695,2019
10_15,2020-21,0.3631403608815799,352711934,0.045075906498252036,0.63685963911842,0.32160777412198366,2020
10_15,2021-22,0.32279337670242964,609158800,0.007077059380903633,0.6772066232975703,0.315716317321526,2021
10_15,2022-23,0.5385268459167487,564387208,0.002975381338577665,0.46147315408325135,0.5359324249602766,2022
10_16,2017-18,0.30814135923632946,571591741,0.10070641486053242,0.6918586407636705,0.20743494437579707,2017
10_16,2018-19,0.19040377382375495,367469413,0.005757015210406097,0.8782240081818914,0.18464675861334887,2018
10_16,2019-20,0.31806721725084647,381990392,0.030948749621953844,0.7361492284078703,0.2871184676288926,2019
10_16,2020-21,0.4377561781379553,289843722,0.01873543426274384,0.5622438218620447,0.4190207438752115,2020
10_16,2021-22,0.3102362213029363,589724882,0.13223548631779222,0.6897637786970637,0.3046395403746929,2021
10_16,2022-23,0.4234681226107958,444718164,0.007494596060618743,0.5765318773892041,0.41597352655017705,2022
10_17,2017-18,0.4307304068733341,587609558,0.17166855886983376,0.5692695931266659,0.2590618480035003,2017
10_17,2018-19,0.3848279610273645,358236794,0.08003876494545206,0.6151720389726355,0.3117662754652723,2018
10_17,2019-20,0.4804824114001166,546885003,0.10509647491650088,0.5195175885998834,0.37538593648361573,2019
10_17,2020-21,0.2959309561279034,629182673,0.18727312918230982,0.7040690438720966,0.10865782694559359,2020
10_17,2021-22,0.39022978039807016,669061379,0.14597172107882198,0.6097702196019298,0.2442580593192482,2021
10_17,2022-23,0.4133990305506122,658509880,0.07188170510061291,0.5866009694493878,0.3415173254499993,2022
10_18,2017-18,0.4474266829252043,298395020,0.19248398649548507,0.5525733170747957,0.27799780532176854,2017
10_18,2018-19,0.2766799917205203,424901097,0.061120698871718844,0.7233200082794797,0.21555929284880146,2018
10_18,2019-20,0.6876968161476412,365936692,0.22258142126944733,0.31230318385235883,0.46511539487819387,2019
10_18,2020-21,0.5069783724319341,683889051,0.27534411864710495,0.49302162756806583,0.2316342537848292,2020
10_18,2021-22,0.3823692242429447,859973152,0.08892223765608906,0.6176307757570554,0.2934469865868557,2021
10_18,2022-23,0.357563152774063,689619350,0.02972284927909868,0.6424368472259371,0.3278403034949643,2022
10_19,2017-18,0.548344807497096,486600893,0.015766483803047224,0.45165519250290403,0.5330284052725731,2017
10_19,2018-19,0.4655203720697793,529006361,0.015773906733798235,0.5344796279302206,0.4497464653359811,2018
10_19,2019-20,0.484724907281283,675392758,0.02944241963577584,0.515275092718717,0.45528248764550716,2019
10_19,2020-21,0.5204268284780915,389681590,0.0666354291974635,0.47957317152190837,0.45379139928062806,2020
10_19,2021-22,0.37181761325737933,366386016,NA,0.6638037450977841,0.37181761325737933,2021
10_19,2022-23,0.39118053504719447,595336455,0.010643456321712364,0.6129113090608729,0.380608135277051,2022
10_20,2017-18,0.4600323889172789,252078201,0.04944072097690034,0.5399676110827211,0.41059166794037855,2017
10_20,2018-19,0.7402381084951224,468610412,0.031935476926620236,0.2597618915048776,0.7083026315685022,2018
10_20,2019-20,0.7104946779752273,305435632,NA,0.2895053220247728,0.7104946779752273,2019
10_20,2020-21,0.8078875642065024,238192191,0.030804032530184836,0.19211243579349752,0.7770835316763176,2020
10_20,2021-22,0.5797630084349907,386309614,0.025744075838609597,0.4202369915650093,0.5540189325963811,2021
10_20,2022-23,0.5961306551981248,542287831,0.03305836305959814,0.40386934480187514,0.5630722921385267,2022
10_21,2017-18,0.4423343828866027,46979988,0.012931840851265634,0.5576656171133973,0.43098118713865996,2017
10_21,2018-19,0.14546811960260714,87246058,0.0197926396962377,0.8545318803973928,0.1276024184382061,2018
10_21,2019-20,0.41759280620314454,236363861,NA,0.5824071937968555,0.41759280620314454,2019
10_21,2020-21,0.3986591514868993,243082941,0.00242195274843346,0.6013408485131008,0.39664379821700446,2020
10_21,2021-22,0.3320128811421382,226338625,0.06339493756313135,0.6679871188578618,0.2686179435790069,2021
10_21,2022-23,0.5770623658599032,322149667,0.09257959593048408,0.4229376341400968,0.4844827699294192,2022
10_22,2017-18,0.45872128684106367,200462487,NA,0.5412787131589363,0.45872128684106367,2017
10_22,2018-19,0.6675641026462229,284135774,0.08582430736088867,0.3324358973537771,0.5817397952853343,2018
10_22,2019-20,0.5763982167472066,214171766,0.0938695392743785,0.42360178325279346,0.48252867747282807,2019
10_22,2020-21,0.5372115920451572,340366652,0.07746866164785145,0.46278840795484283,0.4597429303973058,2020
10_22,2021-22,0.7814924582370031,364989791,0.46024608123902294,0.21850754176299686,0.3212463769979802,2021
10_22,2022-23,0.6029988264392697,301605184,0.1882028128535085,0.3970011735607303,0.4147960135857612,2022
10_23,2017-18,0.5006277952882956,172798366,0.0027267502004826587,0.4993722047117043,0.4979983954246419,2017
